NUCLEO;TIPO (SECTOR|SECTORNOCTURNO|CONF);# SECTORNOCTURNO;NOMBRE;INICIO;FIN
Barcelona RutaW;CONF;0;2A;4:40:00;5:40:00
Barcelona RutaW;CONF;0;4A;5:40:00;7:00:00
Barcelona RutaW;CONF;0;5A;7:00:00;8:40:00
Barcelona RutaW;CONF;0;7A;8:00:00;12:40:00
Barcelona RutaW;CONF;0;6A;12:40:00;13:00:00
