[];'LECMASI';'LECMASL';'LECMASU';'LECMBDI';'LECMBDP';'LECMBLI';'LECMBLL';'LECMBLU';'LECMCJI';'LECMCJL';'LECMCJU';'LECMCZI';'LECMDGI';'LECMDGL';'LECMDGU';'LECMDPI';'LECMNWL';'LECMPAI';'LECMPAL';'LECMPAU';'LECMR1I';'LECMR2I';'LECMSAB';'LECMSAI';'LECMSAN';'LECMSAU';'LECMSEI';'LECMSWI';'LECMTCI';'LECMTER';'LECMTLI';'LECMTLL';'LECMTLU';'LECMTZI';'LECMZGZ';'LECMZLM';'LECMZMI';'LECMZML';'LECMZMU';'LECMZTI';'LECMZUM'
'LECMTLL';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0
'LECMTLU';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0
'LECMTZI';0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0
'LECMZGZ';0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
'LECMZLM';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1
'LECMZMI';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1
'LECMZML';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0
'LECMZMU';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1
'LECMZTI';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1
'LECMZUM';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1
