Sectorizacion;Sector;Volumen;Ruta;
R4C;GCCCRC2;RCW;Canarias Ruta;
R4D;GCCCOCE;OCE;Canarias Ruta;
R4D;GCCCOCE;OCE;Canarias Ruta;
R4D;GCCCRCE;RCE;Canarias Ruta;
R4D;GCCCRNE;RNE;Canarias Ruta;
R4D;GCCCRW4;RST;Canarias Ruta;
R4D;GCCCRW4;RWW;Canarias Ruta;
R4D;GCCCRW4;RNW;Canarias Ruta;
R4D;GCCCRW4;RCW;Canarias Ruta;
R4E;GCCCCES;RCE;Canarias Ruta;
R4E;GCCCCES;RST;Canarias Ruta;
R4E;GCCCOCE;OCE;Canarias Ruta;
R4E;GCCCOCE;OCE;Canarias Ruta;
R4E;GCCCRNE;RNE;Canarias Ruta;
R4E;GCCCRW3;RNW;Canarias Ruta;
R4E;GCCCRW3;RWW;Canarias Ruta;
R4E;GCCCRW3;RCW;Canarias Ruta;
R4F;GCCCCWS;RST;Canarias Ruta;
R4F;GCCCCWS;RCW;Canarias Ruta;
R4F;GCCCNWW;RNW;Canarias Ruta;
R4F;GCCCNWW;RWW;Canarias Ruta;
R4F;GCCCNWW;RNW;Canarias Ruta;
R4F;GCCCNWW;RWW;Canarias Ruta;
R4F;GCCCOCE;OCE;Canarias Ruta;
R4F;GCCCOCE;OCE;Canarias Ruta;
R4F;GCCCRE2;RCE;Canarias Ruta;
R4F;GCCCRE2;RNE;Canarias Ruta;
R4G;GCCCOCE;OCE;Canarias Ruta;
R4G;GCCCOCE;OCE;Canarias Ruta;
R4G;GCCCR2E;RST;Canarias Ruta;
R4G;GCCCR2E;RNE;Canarias Ruta;
R4G;GCCCRCE;RCE;Canarias Ruta;
R4G;GCCCRW3;RCW;Canarias Ruta;
R4G;GCCCRW3;RWW;Canarias Ruta;
R4G;GCCCRW3;RNW;Canarias Ruta;
R5B;GCCCCWS;RCW;Canarias Ruta;
R5B;GCCCCWS;RST;Canarias Ruta;
R5B;GCCCNWW;RNW;Canarias Ruta;
R5B;GCCCNWW;RWW;Canarias Ruta;
R5B;GCCCNWW;RNW;Canarias Ruta;
R5B;GCCCNWW;RWW;Canarias Ruta;
R5B;GCCCOCE;OCE;Canarias Ruta;
