NUCLEO;TIPO (SECTOR|SECTORNOCTURNO|CONF);# SECTORNOCTURNO;NOMBRE;INICIO;FIN
Barcelona RutaE;CONF;0;3A;7:00:00;15:00:00
Barcelona RutaW;CONF;0;3A;7:00:00;15:00:00
