NUCLEO;TIPO (SECTOR|SECTORNOCTURNO|CONF);# SECTORNOCTURNO;NOMBRE;INICIO;FIN
Barcelona RutaE;SECTOR;0;LECBMNI;6:45:00;7:30:00
Barcelona RutaE;CONF;0;3A;7:30:00;15:00:00
Barcelona RutaW;CONF;0;3A;7:30:00;15:00:00
