NUCLEO;TIPO (SECTOR|SECTORNOCTURNO|CONF);# SECTORNOCTURNO;NOMBRE;INICIO;FIN
Barcelona RutaE;CONF;0;4A;14:00:00;17:00:00
Barcelona RutaE;CONF;0;3D;17:00:00;17:40:00
Barcelona RutaE;CONF;0;4A;17:40:00;19:00:00
Barcelona RutaE;CONF;0;2A;19:00:00;21:40:00
Barcelona RutaE;CONF;0;1A;21:40:00;22:20:00
