NUCLEO;TIPO (SECTOR|SECTORNOCTURNO|CONF);# SECTORNOCTURNO;NOMBRE;INICIO;FIN
Barcelona RutaE;CONF;0;4A;14:00:00;19:20:00
Barcelona RutaE;CONF;0;2A;19:20:00;21:20:00
Barcelona RutaW;CONF;0;5A;14:00:00;19:20:00
Barcelona RutaW;CONF;0;4A;19:20:00;21:00:00
Barcelona RutaW;CONF;0;2A;21:00:00;21:20:00
