Sectorizacion;Sector;Volumen;Ruta
5C;LECSSM2;SEVU;Sevilla
5C;LECSSM2;VEJU;Sevilla
5C;LECSSUR;ALMU;Sevilla
5C;LECSSUR;MALU;Sevilla
5D;LECSAPT;APNX;Sevilla
5D;LECSAPT;APSX;Sevilla
5D;LECSBA1;ALCU;Sevilla
5D;LECSBA1;BLNX;Sevilla
5D;LECSCES;ALML;Sevilla
5D;LECSCES;ALMU;Sevilla
5D;LECSCES;MALL;Sevilla
5D;LECSCES;MALU;Sevilla
5D;LECSSM2;ALCL;Sevilla
5D;LECSSM2;MARX;Sevilla
5D;LECSSM2;SEVL;Sevilla
5D;LECSSM2;SEVU;Sevilla
5D;LECSSM2;VEJU;Sevilla
5D;LECSYES;YESX;Sevilla
6A;LECSAPT;APNX;Sevilla
6A;LECSAPT;APSX;Sevilla
6A;LECSCEN;ALML;Sevilla
6A;LECSCEN;MALL;Sevilla
6A;LECSMA4;ALCL;Sevilla
6A;LECSMA4;MARX;Sevilla
6A;LECSMA4;VEJU;Sevilla
6A;LECSNO1;ALCU;Sevilla
6A;LECSNO1;BLNX;Sevilla
6A;LECSNO1;YESX;Sevilla
6A;LECSSEV;SEVL;Sevilla
6A;LECSSEV;SEVU;Sevilla
6A;LECSSUR;ALMU;Sevilla
6A;LECSSUR;MALU;Sevilla
6B;LECSAPT;APNX;Sevilla
6B;LECSAPT;APSX;Sevilla
6B;LECSCEN;ALML;Sevilla
6B;LECSCEN;MALL;Sevilla
6B;LECSMAR;ALCL;Sevilla
6B;LECSMAR;ALCU;Sevilla
6B;LECSMAR;MARX;Sevilla
6B;LECSMAR;VEJU;Sevilla
6B;LECSNOR;BLNX;Sevilla
6B;LECSNOR;YESX;Sevilla
6B;LECSSEV;SEVL;Sevilla
6B;LECSSEV;SEVU;Sevilla
6B;LECSSUR;ALMU;Sevilla
6B;LECSSUR;MALU;Sevilla
6C;LECSASN;APNX;Sevilla
6C;LECSASV;APSX;Sevilla
6C;LECSCES;ALML;Sevilla
6C;LECSCES;ALMU;Sevilla
6C;LECSCES;MALL;Sevilla
6C;LECSCES;MALU;Sevilla
6C;LECSMA4;ALCL;Sevilla
6C;LECSMA4;MARX;Sevilla
6C;LECSMA4;VEJU;Sevilla
6C;LECSNO1;ALCU;Sevilla
6C;LECSNO1;BLNX;Sevilla
6C;LECSNO1;YESX;Sevilla
6C;LECSSEV;SEVL;Sevilla
6C;LECSSEV;SEVU;Sevilla
6D;LECSAPT;APNX;Sevilla
6D;LECSAPT;APSX;Sevilla
6D;LECSBA1;ALCU;Sevilla
6D;LECSBA1;BLNX;Sevilla
6D;LECSCES;ALML;Sevilla
6D;LECSCES;ALMU;Sevilla
6D;LECSCES;MALL;Sevilla
6D;LECSCES;MALU;Sevilla
6D;LECSMA4;ALCL;Sevilla
6D;LECSMA4;MARX;Sevilla
6D;LECSMA4;VEJU;Sevilla
6D;LECSSEV;SEVL;Sevilla
6D;LECSSEV;SEVU;Sevilla
6D;LECSYES;YESX;Sevilla
6E;LECSAPT;APNX;Sevilla
6E;LECSAPT;APSX;Sevilla
6E;LECSBA1;ALCU;Sevilla
6E;LECSBA1;BLNX;Sevilla
6E;LECSCEN;ALML;Sevilla
6E;LECSCEN;MALL;Sevilla
6E;LECSSM2;ALCL;Sevilla
6E;LECSSM2;MARX;Sevilla
6E;LECSSM2;SEVL;Sevilla
6E;LECSSM2;SEVU;Sevilla
6E;LECSSM2;VEJU;Sevilla
6E;LECSSUR;ALMU;Sevilla
6E;LECSSUR;MALU;Sevilla
6E;LECSYES;YESX;Sevilla
7A;LECSASN;APNX;Sevilla
7A;LECSASV;APSX;Sevilla
7A;LECSCEN;ALML;Sevilla
7A;LECSCEN;MALL;Sevilla
7A;LECSMA4;ALCL;Sevilla
7A;LECSMA4;MARX;Sevilla
7A;LECSMA4;VEJU;Sevilla
7A;LECSNO1;ALCU;Sevilla
7A;LECSNO1;BLNX;Sevilla
7A;LECSNO1;YESX;Sevilla
7A;LECSSEV;SEVL;Sevilla
7A;LECSSEV;SEVU;Sevilla
7A;LECSSUR;ALMU;Sevilla
7A;LECSSUR;MALU;Sevilla
7B;LECSASN;APNX;Sevilla
7B;LECSASV;APSX;Sevilla
7B;LECSCEN;ALML;Sevilla
7B;LECSCEN;MALL;Sevilla
7B;LECSMAR;ALCL;Sevilla
7B;LECSMAR;ALCU;Sevilla
7B;LECSMAR;MARX;Sevilla
7B;LECSMAR;VEJU;Sevilla
7B;LECSNOR;BLNX;Sevilla
7B;LECSNOR;YESX;Sevilla
7B;LECSSEV;SEVL;Sevilla
7B;LECSSEV;SEVU;Sevilla
7B;LECSSUR;ALMU;Sevilla
7B;LECSSUR;MALU;Sevilla
7D;LECSAPT;APNX;Sevilla
7D;LECSAPT;APSX;Sevilla
7D;LECSBA1;ALCU;Sevilla
7D;LECSBA1;BLNX;Sevilla
7D;LECSCEN;ALML;Sevilla
7D;LECSCEN;MALL;Sevilla
7D;LECSMA4;ALCL;Sevilla
7D;LECSMA4;MARX;Sevilla
7D;LECSMA4;VEJU;Sevilla
7D;LECSSEV;SEVL;Sevilla
7D;LECSSEV;SEVU;Sevilla
7D;LECSSUR;ALMU;Sevilla
7D;LECSSUR;MALU;Sevilla
7D;LECSYES;YESX;Sevilla
8D;LECSASN;APNX;Sevilla
8D;LECSASV;APSX;Sevilla
8D;LECSBA1;ALCU;Sevilla
8D;LECSBA1;BLNX;Sevilla
8D;LECSCEN;ALML;Sevilla
8D;LECSCEN;MALL;Sevilla
8D;LECSMA4;ALCL;Sevilla
8D;LECSMA4;MARX;Sevilla
8D;LECSMA4;VEJU;Sevilla
8D;LECSSEV;SEVL;Sevilla
8D;LECSSEV;SEVU;Sevilla
8D;LECSSUR;ALMU;Sevilla
8D;LECSSUR;MALU;Sevilla
8D;LECSYES;YESX;Sevilla
