SECTOR;Sectores Elementales
LECSALL;
LECSAPT;LECSASN
LECSAPT;LECSASV
LECSASN;LECSASN
LECSASV;LECSASV
LECSBA1;LECSBA1
LECSBLY;
LECSCEN;LECSCEN
LECSCES;LECSCEN
LECSCES;LECSSUR
LECSMA4;LECSMA4
LECSMAR;LECSMA4
LECSNCS;
LECSNO1;LECSBA1
LECSNO1;LECSYES
LECSNOR;LECSYES
LECSRTA;
LECSSEL;LECSSEL
LECSSEU;LECSSEU
LECSSEV;LECSSEV
LECSSM1;LECSMA4
LECSSM1;LECSSEV
LECSSM2;LECSMA4
LECSSM2;LECSSEV
LECSSUR;LECSSUR
LECSYES;LECSYES
