Sectorizacion;Sector;Volumen;Ruta
6B;LECBMUS;MNU;Barcelona RutaE
6B;LECBMUS;MMS;Barcelona RutaE
6B;LECBVNI;VNI;Barcelona RutaE
6B;LECBVVS;VVS;Barcelona RutaE
6C;LECBCCL;CCL;Barcelona RutaE
6C;LECBCCU;CCU;Barcelona RutaE
6C;LECBMLS;MNL;Barcelona RutaE
6C;LECBMLS;MMS;Barcelona RutaE
6C;LECBMNU;MNU;Barcelona RutaE
6C;LECBVNI;VNI;Barcelona RutaE
6C;LECBVVS;VVS;Barcelona RutaE
4B;LECBP1L;P1L;Barcelona RutaW
4B;LECBP1U;P1U;Barcelona RutaW
5B;LECBP1L;P1L;Barcelona RutaW
5B;LECBP1U;P1U;Barcelona RutaW
6A;LECBP1L;P1L;Barcelona RutaW
6A;LECBP1U;P1U;Barcelona RutaW
5F;LECBCCL;CCL;Barcelona RutaE
5F;LECBCCU;CCU;Barcelona RutaE
5F;LECBMMI;MNL;Barcelona RutaE
5F;LECBMMI;MNU;Barcelona RutaE
5F;LECBMMI;MMS;Barcelona RutaE
5F;LECBVNI;VNI;Barcelona RutaE
5F;LECBVVS;VVS;Barcelona RutaE
4F;LECBBAS;VVS;Barcelona RutaE
4F;LECBBAS;MMS;Barcelona RutaE
4F;LECBCCL;CCL;Barcelona RutaE
4F;LECBCCU;CCU;Barcelona RutaE
4F;LECBVMN;MNU;Barcelona RutaE
4F;LECBVMN;MNL;Barcelona RutaE
4F;LECBVMN;VNI;Barcelona RutaE
