NUCLEO;TIPO (SECTOR|SECTORNOCTURNO|CONF);# SECTORNOCTURNO;NOMBRE;INICIO;FIN
Barcelona RutaW;CONF;0;2A;6:20:00;8:20:00
Barcelona RutaW;CONF;0;4A;8:20:00;10:20:00
Barcelona RutaW;CONF;0;5A;10:20:00;12:20:00
Barcelona RutaW;CONF;0;4A;12:20:00;14:00:00
