NUCLEO;TIPO (SECTOR|SECTORNOCTURNO|CONF);# SECTORNOCTURNO;NOMBRE;INICIO;FIN
Barcelona Ruta Este;CONF;0;4A;15:00:00;20:00:00
Barcelona Ruta Este;CONF;0;3A;20:00:00;21:35:00
Barcelona Ruta Oeste;CONF;0;5A;15:00:00;16:40:00
Barcelona Ruta Oeste;CONF;0;5C;16:40:00;20:00:00
Barcelona Ruta Oeste;CONF;0;4A;20:00:00;20:40:00
Barcelona Ruta Oeste;CONF;0;3A;20:40:00;21:35:00
