NUCLEO;TIPO (SECTOR|SECTORNOCTURNO|CONF);# SECTORNOCTURNO;NOMBRE;INICIO;FIN
Barcelona Ruta Este;CONF;0;4A;15:00:00;21:35:00
Barcelona Ruta Oeste;CONF;0;5A;15:00:00;21:35:00
