NUCLEO;TIPO (SECTOR|SECTORNOCTURNO|CONF);# SECTORNOCTURNO;NOMBRE;INICIO;FIN
Barcelona RutaE;CONF;0;4A;7:30:00;15:00:00
Barcelona RutaW;CONF;0;2A;7:30:00;15:00:00
